% Model:              test_10_copia5_v2.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 18 2023, 09:44
% Dimension:          1
% Nodes:              1032
% Expressions:        1
% Description:        Function
% T (K)                   k_solid_residual_resistivity_ratio_of_100_2(T)
38.3083191340082          1587.812740840755
38.79796532023656         1558.5737470323993
39.287611506464856        1529.3594135724816
39.77725769269318         1500.1697404609959
40.26690387892151         1471.0047276979449
40.75655006514984         1441.8643752833277
41.246196251378166        1412.7486832171444
41.73584243760649         1383.6576514993958
42.22548862383482         1354.5912801300815
42.71513481006312         1325.5495691092028
43.20478099629145         1296.5325184367566
43.6944271825198          1267.5401281127433
44.18407336874813         1240.7048549551873
44.67371955497643         1217.781826944095
45.16336574120476         1195.3833544509625
45.653011927433084        1173.5027075767857
46.14265811366141         1152.1331564225593
46.63230429988974         1131.2679710892753
47.12195048611807         1110.9004216779285
47.611596672346394        1091.023778289511
48.10124285857469         1071.6313110250194
48.59088904480305         1052.716289985442
49.08053523103138         1034.2719852717773
49.570181417259676        1016.2916669850183
50.059827603488           998.768605226157
50.54947378971633         981.6960700961863
51.039119975944686        965.0673316961002
51.528766162172985        948.875660126896
52.181627743810736        927.9550145140029
52.834489325448516        907.7834599823491
53.487350907086295        888.3450441787345
54.140212488724046        869.6238147499598
54.793074070361826        851.6038193428212
55.44593565199958         834.2691056041231
56.098797233637356        817.6037211806624
56.751658815275135        801.5917137192391
57.404520396912886        786.217130866653
58.057381978550666        771.4640202697028
58.71024356018842         757.3164295751894
59.363105141826196        743.7584064299126
60.015966723463976        730.7739984806694
60.66882830510173         718.3472533742633
61.321689886739506        706.4622187574914
61.97455146837726         695.1029422771544
62.627413050015036        684.2534715800502
63.280274631652816        673.8978543129797
63.93313621329057         664.0201381227434
64.58599779492835         654.6043706561395
65.2388593765661          645.6345995599695
65.89172095820385         637.0948724810296
66.54458253984163         628.9692370661232
67.19744412147938         621.2417409620466
67.85030570311716         613.8964318156022
68.50316728475491         606.9173572735872
69.15602886639269         600.288564982804
69.97210584343989         592.470856622037
70.78818282048712         585.1443817870977
71.60425979753433         578.2779835381416
72.42033677458153         571.8405049353232
73.23641375162873         565.800789038798
73.998643                 560.4913333883842
74.70535231031371         555.0537699816741
75.52142928736095         549.0516037925208
76.33750626440815         543.3361780165978
77.15358324145535         537.8953095118568
77.96966021850255         532.7170799879432
78.78573719554976         527.7898360061872
79.60181417259699         523.1021889796048
80.41789114964419         518.6430151729028
81.2339681266914          514.4014557024775
82.0500451037386          510.36691653641174
82.8661220807858          506.52906849447754
83.68219905783303         502.8778472481308
84.49827603488023         499.4034533205213
85.31435301192744         496.09635208648433
86.13042998897464         492.94727377254276
87.1097223614313          489.36430976601696
88.08901473388792         485.98088858646224
89.06830710634458         482.78250235557516
90.04759947880126         479.7551923915162
91.02689185125789         476.8855492089042
92.00618422371454         474.1607125188193
92.98547659617117         471.5683712288037
93.96476896862782         469.0967634428589
94.9440613410845          466.7346764614422
95.92335371354113         464.47144678148106
96.90264608599779         462.2969600963579
97.88193845845444         460.2016512959108
98.86123083091107         458.17650446644893
99.84052320336775         456.2130528907337
100.8198155758244         454.7605389039057
101.79910794828103        453.42625386471383
102.77840032073769        452.1189761369659
103.75769269319431        450.8383068842333
104.90020046106045        449.3772949122698
106.0427082289265         447.95133769591223
107.18521599679264        446.5598170864735
108.32772376465871        445.2021203876535
109.47023153252479        443.87764035553823
110.6127393003909         442.5857751985998
111.75524706825698        441.3259285776972
112.89775483612308        440.0975096060754
114.04026260398916        438.899932849366
115.18277037185524        437.73261832558666
116.32527813972135        436.5949915051416
117.46778590758743        435.4864833108216
118.61029367545356        434.40653011780324
119.75280144331964        433.35457375365024
120.89530921118575        432.3300614983119
122.20103237446128        431.1920935960316
123.50675553773678        430.0884482509757
124.81247870101234        429.0183265721949
126.11820186428784        427.98093897027036
127.4239250275634         426.9755051573134
128.7296481908389         426.0012541469661
130.03537135411446        425.05742425440076
131.34109451738996        424.14326309632
132.64681768066552        423.2580275909573
133.95254084394108        422.4009839580761
135.25826400721658        421.57140771897053
136.56398717049214        420.7685836964652
137.86971033376764        419.99180601491474
139.33864889245265        419.1481976856125
140.8075874511376         418.3356951852528
142.27652600982262        417.5533356827899
143.74546456850757        416.8001712464317
145.21440312719253        416.075268843639
146.68334168587754        415.3777103411262
148.1522802445625         414.70659250486057
149.6212188032475         414.0610270000626
151.09015736193246        413.44014039120646
152.5590959206174         412.8430741420187
154.02803447930236        412.2689846154798
155.49697303798737        411.71704307382316
157.12912699208178        411.1287613753509
158.76128094617619        410.5657236855542
160.39343490027065        410.02685791006013
162.02558885436505        409.51111466330997
163.65774280845946        409.01746726855947
165.28989676255387        408.54491175787894
166.92205071664827        408.0924668721533
168.55420467074273        407.6591740610819
170.18635862483714        407.244097483179
171.81851257893155        406.84632400577254
